"Port","Commodity","Region","Mode","State","trade_type","Tons_2019","Value_2019","Tons_2021","Value_2021","Tons_2022","Value_2022"
"Atlanta","18 Cocoa And Cocoa Preparations","Europe",4,"GA","Export",0.000202050264550265,0.026316,NA,NA,0.000483796296296296,0.029449
"Atlanta","18 Cocoa And Cocoa Preparations","Europe",4,"GA","Import",0.017484126984127,0.673774,0.00461000881834215,0.2902,0,0.888306
"Atlanta","18 Cocoa And Cocoa Preparations","South/Central America",4,"GA","Export",0.000587742504409171,0.080168,0.00206933421516755,0.109507,0.00150055114638448,0.048737
"Atlanta","18 Cocoa And Cocoa Preparations","South/Central America",4,"GA","Import",0.00168694885361552,0.132746,0.00272740299823633,0.217464,0,0.197771
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Africa",4,"GA","Export",8.92857142857143e-05,0.002585,0.000154210758377425,0.014057,0.000101521164021164,0.006148
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Africa",4,"GA","Import",7.45149911816579e-05,0.004908,NA,NA,NA,NA
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Asia",4,"GA","Export",0.0366359126984127,1.629999,0.00679585537918871,0.285497,0.0129404761904762,0.767217
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Asia",4,"GA","Import",0.00261838624338624,0.033739,0.000512566137566138,0.006942,NA,NA
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Australia and Oceania",4,"GA","Export",0.00552943121693122,0.602615,6.00749559082892e-05,0.007486,NA,NA
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Europe",4,"GA","Export",0.0049672619047619,0.161266,0.00342008377425044,0.123606,0.00934611992945326,0.432381
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","Europe",4,"GA","Import",0.00342713844797178,0.213025,0.00348258377425044,0.125115,0,2.651265
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","North America",4,"GA","Import",7.69400352733686e-05,0.00539,0.000809634038800705,0.037388,0,0.002154
"Atlanta","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","South/Central America",4,"GA","Import",0.00251697530864198,0.081252,0.00745579805996473,0.225746,0,0.332161
"Atlanta","20 Prep Vegetables, Fruit, Nuts Or Other Plant Parts","Africa",4,"GA","Export",0.000688161375661376,0.024524,NA,NA,NA,NA
